"","x"
"Sym-Ctrl-1-2",407
"Sym-Ctrl-1-3",240
"Sym-Ctrl-1-6",214
"Sym-Ctrl-2-1",301
"Sym-Ctrl-2-3",82
"Sym-Ctrl-3-1",248
"Sym-Ctrl-3-2",451
"Sym-Ctrl-3-5",235
"Sym-HEAT-1-2",101
"Sym-HEAT-1-3",98
"Sym-HEAT-1-4",35
"Sym-HEAT-1-5",99
"Sym-HEAT-1-6",73
"Sym-HEAT-2-1",66
"Sym-HEAT-2-2",20
"Sym-HEAT-2-6",74
"Sym-HEAT-3-2",52
"Sym-HEAT-3-5",331
