"","x"
"Sym-Ctrl-1-2",1303
"Sym-Ctrl-1-3",1084
"Sym-Ctrl-1-6",1244
"Sym-Ctrl-2-1",897
"Sym-Ctrl-2-3",463
"Sym-Ctrl-3-1",2248
"Sym-Ctrl-3-2",551
"Sym-Ctrl-3-5",3650
"Sym-HEAT-1-2",133
"Sym-HEAT-1-3",234
"Sym-HEAT-1-4",255
"Sym-HEAT-1-5",248
"Sym-HEAT-1-6",22
"Sym-HEAT-2-1",355
"Sym-HEAT-2-2",278
"Sym-HEAT-2-6",99
"Sym-HEAT-3-2",67
"Sym-HEAT-3-5",132
